Specie,Total,Anthophila,New_Justine,DG,HS,LMDI,inat_25_04,iNaturalist,Spipoll
Eucera cineraria,12,0,0,0,3,0,9,0,0
Eucera clypeata,14,10,0,2,0,2,0,0,0
Eucera collaris,2,0,0,2,0,0,0,0,0
Eucera elongatula,4,0,0,0,0,0,3,1,0
Eucera elongulata,2,0,0,2,0,0,0,0,0
Eucera hispaliensis,1,0,0,1,0,0,0,0,0
Eucera hispana,33,32,0,1,0,0,0,0,0
Eucera longicornis,179,1,0,2,0,13,117,46,0
Eucera longicornis nigrescens,3,0,0,0,0,3,0,0,0
Eucera nigrescens,212,72,13,2,0,29,79,17,0
Eucera nigrifacies,88,66,0,12,0,10,0,0,0
Eucera nigrilabris,165,28,0,2,1,22,94,18,0
Eucera pollinosa,2,0,0,1,0,0,1,0,0
Eucera sp,2,0,0,2,0,0,0,0,0
Eucera taurica,65,62,0,3,0,0,0,0,0
Eucera tricincta,3,0,0,0,0,0,2,1,0
Habropoda tarsata,252,0,0,3,0,8,202,39,0
Habropoda zonatula,19,0,0,0,0,0,12,7,0
Halictus,117,0,0,0,44,73,0,0,0
Halictus brunnescens,7,1,0,1,0,0,5,0,0
Halictus cochlearitarsis,12,0,0,2,0,1,9,0,0
Halictus compressus,14,2,0,0,0,7,5,0,0
Halictus crenicornis,18,0,0,0,0,0,17,1,0
Halictus fulvipes,231,13,0,1,0,3,210,4,0
Halictus langobardicus,51,46,0,0,0,5,0,0,0
Halictus maculatus,137,45,0,1,7,10,68,6,0
Halictus patellatus,13,0,0,3,0,0,10,0,0
Halictus quadricinctus,214,53,1,3,0,26,102,29,0
Halictus rubicundus,5840,16,0,0,0,24,5640,160,0
Halictus scabiosae,5963,117,6,3,3,61,4224,1549,0
Halictus sexcinctus,411,22,0,1,4,20,271,93,0
Halictus simplex,64,7,0,0,0,0,55,2,0
Halictus tetrazonius,1,0,0,1,0,0,0,0,0
Heriades,46,0,0,0,2,44,0,0,0
Heriades crenulata,51,12,0,0,0,8,20,11,0
Heriades crenulatus,2,0,0,2,0,0,0,0,0
Heriades truncorum,448,41,3,1,0,16,257,130,0
Holandrena sp,1,0,0,1,0,0,0,0,0
Hoplitis,66,0,0,0,7,59,0,0,0
Hoplitis acuticornis,5,0,0,0,0,5,0,0,0
Hoplitis adunca,293,126,0,1,2,30,103,31,0
Hoplitis benoisti,1,0,0,0,0,0,0,1,0
Hoplitis bisulca,25,0,0,1,18,6,0,0,0
Hoplitis claviventris,19,0,0,0,0,0,17,2,0
Hoplitis cristatula,38,0,0,4,0,29,5,0,0
Hoplitis dalmatica,1,0,0,0,0,1,0,0,0
Hoplitis jakovlevi,1,0,0,1,0,0,0,0,0
Hoplitis leucomelana,104,25,0,0,0,36,33,10,0
Hoplitis lithodorae,1,0,0,1,0,0,0,0,0
Hoplitis mocsaryi,42,0,0,0,0,0,35,7,0
Hoplitis mucidoides,3,0,0,3,0,0,0,0,0
Hoplitis papaveris,12,0,0,0,0,4,3,5,0
Hoplitis perezi,30,10,0,1,0,19,0,0,0
Hoplitis ravouxi,22,0,0,0,0,0,21,1,0
Hoplitis tridentata,230,204,0,0,0,6,15,5,0
Hoplosmia,7,0,0,0,7,0,0,0,0
Hylaeus,3406,0,0,0,21,82,0,0,3303
Hylaeus annularis,2,0,0,0,0,0,0,2,0
Hylaeus annulatus,77,0,0,0,0,0,76,1,0
Hylaeus brachycephalus,2,0,0,0,0,2,0,0,0
Hylaeus brevicornis,14,0,0,0,0,5,5,4,0
Hylaeus clypearis,38,8,0,0,0,2,24,4,0
Hylaeus communis,324,19,0,0,0,12,231,62,0
Hylaeus confusus,45,10,1,0,0,6,21,7,0
Hylaeus coriaceus,6,6,0,0,0,0,0,0,0
Hylaeus cornutus,78,50,0,0,0,2,23,3,0
Hylaeus difformis,5,0,0,0,0,2,2,1,0
Hylaeus dilatatus,38,1,0,0,0,3,19,15,0
Hylaeus duckei,20,19,0,0,0,0,0,1,0
Hylaeus gibbus,18,0,0,0,0,1,16,1,0
Hylaeus gredleri,16,13,0,0,0,0,2,1,0
Hylaeus hyalinatus,262,15,3,0,0,17,192,35,0
Hylaeus incongruus,3,2,0,0,0,0,1,0,0
Hylaeus leptocephalus,674,0,0,0,0,0,672,2,0
Hylaeus lineolatus,6,0,0,0,0,6,0,0,0
Hylaeus meridionalis,14,0,0,0,5,3,6,0,0
Hylaeus nigritus,207,10,0,0,0,18,150,29,0
Hylaeus pectoralis,22,0,0,0,0,5,15,2,0
Hylaeus pictipes,86,25,0,0,0,10,44,7,0
Hylaeus pictus,171,62,0,0,0,2,86,21,0
Hylaeus punctatus,310,4,0,0,0,3,290,13,0
Hylaeus punctulatissimus,64,60,0,1,0,2,1,0,0
Hylaeus rinki,9,0,0,0,0,0,5,4,0
Hylaeus signatus,88,11,4,0,0,16,42,15,0
Hylaeus sinuatus,12,2,0,0,0,0,9,1,0
Hylaeus sp,1,0,0,1,0,0,0,0,0
Hylaeus styriacus,6,0,0,0,0,0,3,3,0
Hylaeus sulphuripes,79,15,0,0,0,0,56,8,0
Hylaeus variegatus,642,73,0,0,0,18,426,125,0
Icteranthidium grohmanni,141,19,0,0,0,17,79,26,0
Icteranthidium laterale,73,5,0,0,0,10,49,9,0
Lasioglossum,299,0,0,0,76,223,0,0,0
Lasioglossum albipes,47,21,2,1,0,0,15,8,0
Lasioglossum albocinctum,17,0,0,3,0,11,3,0,0
Lasioglossum bimaculatum,6,0,0,1,4,1,0,0,0
Lasioglossum bluethgeni,11,0,0,0,0,0,10,1,0
Lasioglossum buccale,6,0,0,0,0,6,0,0,0
Lasioglossum calceatum,155,16,5,1,0,33,78,22,0
Lasioglossum calceatus,2,0,0,0,2,0,0,0,0
Lasioglossum clypeare,32,0,0,1,0,7,23,1,0
Lasioglossum corvinum,13,10,0,3,0,0,0,0,0
Lasioglossum costulatum,47,9,0,1,0,0,32,5,0
Lasioglossum cupromicans,1,0,0,0,1,0,0,0,0
Lasioglossum discum,73,65,0,3,0,5,0,0,0
Lasioglossum discus,29,0,0,0,0,0,27,2,0
Lasioglossum euboeense,2,0,0,2,0,0,0,0,0
Lasioglossum fulvicorne,17,8,0,2,0,7,0,0,0
Lasioglossum glabriusculum,50,0,0,1,0,9,40,0,0
Lasioglossum interruptum,173,27,0,1,1,4,126,14,0
Lasioglossum laevigatum,51,0,0,0,6,12,33,0,0
Lasioglossum laticeps,85,26,0,0,0,11,48,0,0
Lasioglossum lativentre,1,0,0,1,0,0,0,0,0
Lasioglossum leucopus,5,0,0,1,0,0,3,1,0
Lasioglossum leucozonium,333,35,4,1,0,20,250,23,0
Lasioglossum majus,12,0,0,1,7,0,0,4,0
Lasioglossum malachurum,267,73,0,3,0,5,178,8,0
Lasioglossum marginatum,277,13,0,2,0,0,255,7,0
Lasioglossum mediterraneum,1,0,0,1,0,0,0,0,0
Lasioglossum minutulum,5,0,0,0,5,0,0,0,0
Lasioglossum morio,145,89,2,0,1,11,35,7,0
Lasioglossum nigripes,45,0,0,2,1,6,31,5,0
Lasioglossum nitidulum,26,0,0,0,11,11,4,0,0
Lasioglossum pallens,104,45,9,3,0,14,33,0,0
Lasioglossum pauperatum,1,0,0,0,0,0,0,1,0
Lasioglossum pauxillum,85,0,0,1,0,0,82,2,0
Lasioglossum politum,196,86,4,0,0,2,104,0,0
Lasioglossum prasinum,39,12,0,1,0,7,17,2,0
Lasioglossum punctatissimum,76,38,0,1,1,0,36,0,0
Lasioglossum pygmaeum,60,0,0,1,0,0,59,0,0
Lasioglossum rufitarse,6,6,0,0,0,0,0,0,0
Lasioglossum sexnotatum,171,0,6,1,0,5,112,47,0
Lasioglossum sexstrigatum,2,0,1,0,0,0,0,1,0
Lasioglossum sphecodimorphum,4,0,0,0,0,0,0,4,0
Lasioglossum villosulum,36,25,2,1,0,0,6,2,0
Lasioglossum xanthopus,84,0,0,1,0,2,66,15,0
Lasioglossum zonulum,42,19,3,1,0,7,0,12,0
Lithurgus,8,0,0,0,0,8,0,0,0
Lithurgus chrysurus,341,110,0,2,0,42,97,90,0
Lithurgus cornutus,129,48,0,4,0,6,63,8,0
Macropis,28,0,0,0,0,28,0,0,0
Macropis europaea,975,12,6,7,0,23,696,231,0
Macropis fulvipes,242,0,0,1,0,1,174,66,0
Megachile,1229,0,0,0,6,154,0,0,1069
Megachile albisecta,132,0,0,0,0,35,67,30,0
Megachile albocristata,6,0,0,0,0,0,3,3,0
Megachile analis,16,0,0,0,0,0,15,1,0
Megachile apicalis,180,2,0,2,0,7,131,38,0
Megachile centuncularis,555,80,7,1,0,51,334,82,0
Megachile circumcincta,25,9,0,0,0,13,3,0,0
Megachile deceptoria,11,0,0,0,0,11,0,0,0
Megachile ericetorum,711,24,8,2,0,52,455,170,0
Megachile genalis,17,0,0,2,0,0,14,1,0
Megachile lagopoda,147,13,0,1,0,28,100,5,0
Megachile lapponica,7,0,0,0,0,0,6,1,0
Megachile leachella,60,9,4,1,2,4,26,14,0
Megachile ligniseca,82,1,0,0,9,0,59,13,0
Megachile maritima,186,83,1,2,0,30,60,10,0
Megachile melanopyga,49,15,0,3,0,1,20,10,0
Megachile nigriventris,72,0,0,1,0,4,55,12,0
Megachile octosignata,48,1,0,0,0,8,30,9,0
Megachile parietina,239,0,0,2,0,24,152,61,0
Megachile pilicrus,6,0,0,2,0,3,0,1,0
Megachile pilidens,45,9,3,1,0,20,0,12,0
Megachile pyrenaea,21,0,0,0,0,11,10,0,0
Megachile pyrenaica,102,21,0,3,0,7,62,9,0
Megachile rotundata,1311,51,0,0,0,12,1226,22,0
Megachile rufescens,1,0,0,1,0,0,0,0,0
Megachile schmiedeknechti,8,0,0,0,0,7,0,1,0
Megachile sculptularis,4,0,0,4,0,0,0,0,0
Megachile sculpturalis,4888,21,0,0,0,43,4532,292,0
Megachile sicula,339,2,7,0,0,19,259,52,0
Megachile sicula corsica,1,0,0,0,0,1,0,0,0
Megachile versicolor,22,0,2,2,1,2,11,4,0
Megachile willughbiella,219,15,5,2,0,58,116,23,0
Melecta,119,0,0,0,0,30,0,0,89
Melecta albifrons,637,36,7,1,0,40,413,140,0
Melecta albifrons nigra,2,0,0,0,0,2,0,0,0
Melecta luctuosa,56,13,0,3,0,0,34,6,0
Melitta,19,0,0,0,0,19,0,0,0
Melitta dimidiata,6,0,0,2,0,1,2,1,0
Melitta haemorrhoidalis,420,0,3,2,0,0,319,96,0
Melitta leporina,257,27,0,2,0,0,201,27,0
Melitta nigricans,353,4,1,3,0,13,254,78,0
Melitta tricincta,80,6,0,3,0,9,53,9,0
Melitturga caudata,9,6,0,0,0,0,2,1,0
Melitturga clavicornis,45,0,0,0,0,24,17,4,0
Melliturga clavicornis,1,0,0,1,0,0,0,0,0
Metalinella,1,0,0,1,0,0,0,0,0
Nomada,173,0,0,0,20,153,0,0,0
Nomada agrestis,84,0,0,0,0,18,56,10,0
Nomada alboguttata,31,0,2,0,0,11,4,14,0
Nomada armata,33,0,0,1,0,8,17,7,0
Nomada baccata,45,0,2,9,0,0,30,4,0
Nomada basalis,33,0,0,3,22,7,0,1,0
Nomada bifasciata,97,5,2,0,0,29,53,8,0
Nomada distinguenda,35,33,0,0,0,2,0,0,0
Nomada duplex,1,0,0,1,0,0,0,0,0
Nomada fabriciana,176,5,0,1,0,23,115,32,0
Nomada femoralis,24,5,0,0,0,11,7,1,0
Nomada ferruginata,30,0,1,0,0,7,18,4,0
Nomada flava,108,1,16,0,0,21,45,25,0
Nomada flavoguttata,108,2,0,0,0,28,72,6,0
Nomada flavopicta,56,0,0,1,0,8,39,8,0
Nomada fucata,286,4,2,0,0,13,191,76,0
Nomada fulvicornis,67,3,0,0,0,1,38,25,0
Nomada fuscicornis,5,0,0,0,0,0,3,2,0
Nomada goodeniana,750,2,0,0,5,19,518,206,0
Nomada gribodoi,1,0,0,1,0,0,0,0,0
Nomada integra,1,0,0,0,0,0,0,1,0
Nomada lathburiana,337,2,0,2,0,30,211,92,0
Nomada leucophthalma,177,0,2,0,0,16,120,39,0
Nomada linsenmaieri,3,3,0,0,0,0,0,0,0
Nomada marshamella,239,0,0,0,2,12,144,81,0
Nomada melathoracica,16,2,0,0,0,14,0,0,0
Nomada mocsaryi,1,0,0,0,1,0,0,0,0
Nomada mutica,1,0,0,0,0,0,0,1,0
Nomada nobilis,49,0,0,0,0,15,29,5,0
Nomada obtusifrons,5,0,0,0,0,0,3,2,0
Nomada panzeri,22,1,0,0,0,0,19,2,0
Nomada pectoralis,8,0,0,0,0,4,4,0,0
Nomada piccioliana,5,0,0,0,5,0,0,0,0
Nomada roberjeotiana,1,0,0,0,0,0,0,1,0
Nomada ruficornis,31,2,2,1,0,14,0,12,0
Nomada rufipes,83,0,0,0,0,4,62,17,0
Nomada sanguinea,10,10,0,0,0,0,0,0,0
Nomada sexfasciata,54,12,0,0,0,20,16,6,0
Nomada sheppardana,29,0,0,0,8,2,11,8,0
Nomada signata,32,2,0,0,0,12,15,3,0
Nomada sp,1,0,0,1,0,0,0,0,0
Nomada stigma,4,0,0,0,0,4,0,0,0
Nomada striata,6,3,0,0,0,0,3,0,0
Nomada succincta,184,22,3,0,0,51,85,23,0
Nomada zonata,54,2,0,0,0,24,22,6,0
Nomiapis,15,0,0,0,0,15,0,0,0
Nomiapis diversipes,27,7,0,4,0,16,0,0,0
Nomioides,4,0,0,0,0,4,0,0,0
Nomioides facilis,54,17,0,0,0,13,19,5,0
Nomioides minutissimus,55,0,0,0,0,0,50,5,0
Osmia,117,0,0,0,21,96,0,0,0
Osmia anceyi,22,3,0,1,0,6,12,0,0
Osmia andrenoides,87,1,0,1,5,6,55,19,0
Osmia argyropyga,3,0,0,0,0,3,0,0,0
Osmia aurulenta,504,45,0,1,14,29,331,84,0
Osmia bicolor,1020,1,0,0,0,29,745,245,0
Osmia bicornis,7333,37,8,4,2,53,4731,2498,0
Osmia bidentata,1,0,0,0,0,0,0,1,0
Osmia brevicornis,21,3,0,0,0,14,2,2,0
Osmia caerulescens,486,72,3,1,0,45,269,96,0
Osmia cephalotes,14,0,0,0,0,13,1,0,0
Osmia cornuta,7624,45,11,2,2,54,5377,2133,0
Osmia dimidiata,25,8,0,1,6,7,3,0,0
Osmia emarginata,1,0,0,1,0,0,0,0,0
Osmia ferruginea,27,0,0,0,0,0,25,2,0
Osmia fulviventris,2,0,0,2,0,0,0,0,0
Osmia gallarum,13,10,0,1,0,2,0,0,0
Osmia inermis,8,0,0,0,0,0,7,1,0
Osmia latreillei,200,14,2,0,0,18,148,18,0
Osmia latreillei iberoafricana,7,0,0,0,0,0,6,1,0
Osmia leaiana,85,3,4,1,0,16,36,25,0
Osmia ligurica,5,5,0,0,0,0,0,0,0
Osmia mustelina,14,0,0,0,0,13,0,1,0
Osmia nasoproducta,1,0,0,0,1,0,0,0,0
Osmia niveata,109,31,0,0,0,18,60,0,0
Osmia niveocincta,1,1,0,0,0,0,0,0,0
Osmia rufohirta,78,3,0,1,4,14,48,8,0
Osmia scutellaris,5,0,0,0,0,5,0,0,0
Osmia signata,4,0,0,1,0,3,0,0,0
Osmia spinulosa,297,10,0,2,0,10,197,78,0
Osmia submicans,110,48,1,0,0,4,54,3,0
Osmia tricornis,50,0,0,0,0,23,21,6,0
Osmia versicolor,9,0,0,0,0,5,3,1,0
Osmia xanthomelana,2,0,0,1,1,0,0,0,0
Panurginus albopilosus,4,0,0,0,0,0,0,4,0
Panurginus montanus,8,0,0,0,0,0,8,0,0
Panurgus,117,0,0,0,0,27,0,0,90
Panurgus banksianus,67,8,2,5,0,1,27,24,0
Panurgus calcaratus,248,21,5,0,0,3,164,55,0
Panurgus canescens,7,5,0,0,0,0,1,1,0
Panurgus corsicus,3,0,0,1,0,2,0,0,0
Panurgus dentipes,33,0,0,3,0,20,9,1,0
Panurgus sp,1,0,0,1,0,0,0,0,0
Pasites maculatus,139,18,0,3,0,0,93,25,0
Protosmia,1,0,0,0,0,1,0,0,0
Pseudoanthidium,42,0,0,0,0,42,0,0,0
Pseudoanthidium melanurum,19,1,0,0,0,0,12,6,0
Pseudoanthidium nanum,541,46,0,0,0,13,406,76,0
Pseudoanthidium reticulatum,6,0,0,0,0,2,1,3,0
Pseudoanthidium scapulare,8,0,0,0,0,5,0,3,0
Rhodanthidium,14,0,0,0,0,14,0,0,0
Rhodanthidium infuscatum,51,0,0,0,0,21,27,3,0
Rhodanthidium septemdentatum,686,0,0,3,7,49,472,155,0
Rhodanthidium siculum,58,0,0,0,0,0,46,12,0
Rhodanthidium sticticum,530,11,0,0,22,26,357,114,0
Rhodanthidium stictitum,3,0,0,3,0,0,0,0,0
Rhophitoides canus,7,0,0,0,0,0,6,1,0
Rophites algirus,10,0,0,3,0,0,6,1,0
Rophites quinquespinosus,36,0,0,0,0,0,33,3,0
Seladonia,56,0,0,0,8,48,0,0,0
Seladonia gavarnicus delphinalis,1,0,0,1,0,0,0,0,0
Seladonia gemmea,1,0,0,1,0,0,0,0,0
Seladonia gr. smaragdula,1,0,0,1,0,0,0,0,0
Seladonia kessleri,4,0,0,0,4,0,0,0,0
Seladonia leucahenea arenosa,1,0,0,1,0,0,0,0,0
Seladonia seladonia,9,6,0,0,0,3,0,0,0
Seladonia smaragdula,6,6,0,0,0,0,0,0,0
Seladonia subaurata,84,41,3,4,0,36,0,0,0
Seladonia subaurata corsa,1,0,0,0,0,1,0,0,0
Seladonia submediterranea,7,0,0,0,0,7,0,0,0
Seladonia tumulorum,22,0,0,3,0,19,0,0,0
Sphecodes,71,0,0,0,9,62,0,0,0
Sphecodes albilabris,1867,4,2,2,12,52,1424,371,0
Sphecodes ephippius,12,1,0,0,0,4,5,2,0
Sphecodes gibbus,10,0,0,0,4,0,3,3,0
Sphecodes majalis,25,0,0,1,0,0,24,0,0
Sphecodes monilicornis,29,16,0,1,6,5,0,1,0
Sphecodes niger,25,18,0,0,0,0,6,1,0
Sphecodes olivieri,21,6,0,0,0,5,6,4,0
Sphecodes pellucidus,9,0,0,0,0,0,6,3,0
Sphecodes puncticeps,6,0,0,0,3,2,0,1,0
Sphecodes ruficrus,11,0,0,0,0,4,7,0,0
Stelis,26,0,0,0,1,25,0,0,0
Stelis annulata,42,14,0,2,10,16,0,0,0
Stelis breviuscula,63,25,0,2,0,6,21,9,0
Stelis minuta,7,0,2,0,0,0,5,0,0
Stelis nasuta,27,3,0,0,0,3,17,4,0
Stelis ornatula,43,4,0,0,0,14,15,10,0
Stelis phaeoptera,11,5,0,0,0,0,5,1,0
Stelis phaeroptera,1,0,0,1,0,0,0,0,0
Stelis punctulatissima,315,65,0,0,0,32,173,45,0
Stelis punctulatissimum,2,0,0,2,0,0,0,0,0
Stelis signata,147,17,0,0,0,24,77,29,0
Stelis simillima,29,24,0,0,0,4,0,1,0
Systropha curvicornis,61,31,0,2,1,7,11,9,0
Systropha planidens,21,0,0,0,0,0,17,4,0
Taeniandrena sp,1,0,0,1,0,0,0,0,0
Tetralonia malvae,210,32,0,2,0,32,108,36,0
Tetraloniella,33,0,0,0,0,33,0,0,0
Tetraloniella alticincta,62,37,0,3,0,18,2,2,0
Tetraloniella dentata,181,60,0,4,0,14,94,9,0
Tetraloniella fulvescens,6,0,0,4,0,0,0,2,0
Tetraloniella graja,2,2,0,0,0,0,0,0,0
Tetraloniella inulae,1,0,0,0,0,0,0,1,0
Tetraloniella nana,20,0,0,6,0,13,0,1,0
Tetraloniella pollinosa,3,0,0,3,0,0,0,0,0
Tetraloniella salicariae,46,5,0,4,0,5,24,8,0
Tetraloniella strigata,38,19,0,3,0,12,4,0,0
Thyreus,33,0,0,0,0,33,0,0,0
Thyreus histrionicus,80,0,2,0,0,0,76,2,0
Thyreus orbatus,36,0,0,0,0,6,29,1,0
Thyreus ramosus,56,5,0,2,7,31,8,3,0
Thyreus truncatus,13,13,0,0,0,0,0,0,0
Trachusa,4,0,0,0,0,4,0,0,0
Trachusa byssina,248,1,0,1,2,15,168,61,0
Trachusa integra,48,0,0,2,7,23,8,8,0
Trachusa interrupta,171,71,0,2,0,31,39,28,0
Trachusa laeviventris,3,0,0,0,0,0,2,1,0
Triepeolus tristis,65,39,0,2,0,9,11,4,0
Vestitohalictus,2,0,0,0,0,2,0,0,0
Vestitohalictus pollinosus,20,0,0,2,6,12,0,0,0
Vestitohalictus vestitus,4,4,0,0,0,0,0,0,0
Xylocopa,1472,0,0,0,2,58,0,0,1412
Xylocopa cantabrita,335,0,0,0,0,0,259,76,0
Xylocopa iris,224,119,0,2,0,27,60,16,0
Xylocopa valga,831,2,0,2,1,13,610,203,0
Xylocopa violacea,10344,136,1,5,1,58,6170,3069,904
